title,required_skills,description
Full Stack Developer,"React.js,Node.js,Express.js,MongoDB,JavaScript,TypeScript","Build end-to-end web features, REST APIs, and scalable UI components."
Backend Developer,"Node.js,Express.js,SQL,Docker,REST API","Develop backend services, optimize SQL queries, and containerize apps."
Frontend Developer,"React.js,TypeScript,JavaScript,CSS,HTML","Build interactive frontend modules and responsive user experiences."
Data Analyst,"SQL,Python,Pandas,NumPy,Data Visualization","Analyze data trends and create dashboards for business teams."
DevOps Engineer,"Docker,Kubernetes,AWS,Linux,CI/CD","Manage cloud infrastructure and automate deployment pipelines."
Machine Learning Engineer,"Python,Machine Learning,TensorFlow,PyTorch,SQL","Develop, train, and deploy predictive models."
Cloud Engineer,"AWS,Terraform,Docker,Kubernetes,Linux","Design cloud architecture and maintain reliability at scale."
Software Engineer,"DSA,Java,Git,System Design,REST API","Implement robust services and participate in code reviews."
Data Scientist,"Python,Machine Learning,Deep Learning,Pandas,NumPy","Build forecasting and classification models from noisy data."
Mobile Developer,"Kotlin,Firebase,REST API,Git,Android SDK","Ship Android features and integrate backend APIs."
Product Engineer,"React.js,Node.js,SQL,Docker,AWS","Own product features from design to deployment."
SDE Intern,"DSA,JavaScript,React.js,Git,SQL","Contribute to team projects and improve engineering velocity."
Platform Engineer,"Kubernetes,Docker,Linux,Go,AWS","Build tooling for developer productivity and platform stability."
API Engineer,"Node.js,Express.js,REST API,SQL,Redis","Design high-performance APIs with observability and caching."
Security Engineer,"Linux,Python,Cybersecurity,AWS,Git","Develop secure systems and automate security checks."
AI Engineer,"Python,NLP,Machine Learning,TensorFlow,SQL","Create intelligent features and evaluate model performance."
Frontend Intern,"React.js,JavaScript,CSS,HTML,Git","Implement reusable UI components and fix layout bugs."
Backend Intern,"Node.js,Express.js,MongoDB,REST API,Git","Support backend APIs and write tests for service modules."
Data Engineer,"Python,SQL,AWS,Docker,ETL","Build data pipelines and maintain data quality standards."
Site Reliability Engineer,"Linux,Docker,Kubernetes,AWS,System Design","Improve uptime, monitoring, and incident response processes."
